id,name,domain_id,group,form,role_ids,workflow_ids,question,decision,grain,minimum_fields,relationships,tags,separate_because,merge_or_defer,impact,repeat_use,scope_cost,evidence_basis,rationale
roof,Roof,building_fabric,Enclosure and separation,record,roofer;architect;estimator;sustainability_analyst,roof_takeoff;estimating;carbon,How much roof surface needs each assembly and what remains unknown?,Prepare takeoff with the correct basis,One roof occurrence or explicitly partitioned construction scope,object_id;assembly_id;net_surface_area;projected_area;slope;measurement_scope_id,assembly_specification;drain;quantity_takeoff,roof;weatherproofing;takeoff,Surface and projected areas need distinct names,Use assembly layers rather than classes per roofing product,medium,frequent,medium,workflow_scenario,"The current roof_takeoff already separates net and projected areas. Construction/edge detail is an extension, not a reason to duplicate roof identity or selected measurements."
stair,Stair,building_fabric,Openings and circulation,record,architect;safety_auditor;general_contractor,egress;safety;coordination,Which levels does this stair connect and what route dimensions are known?,Review circulation evidence,One stair assembly with optional flight detail,object_id;from_storey_id;to_storey_id;clear_width;travel_direction;detail_coverage,storey;space,stair;circulation;egress,A level connection is useful before every tread is modeled,Defer flight and landing records until an assessment needs their separate geometry,medium,frequent,medium,brainstorm,Recognizable circulation data helps review; a simple stair record cannot establish compliant egress.
penetration,Service penetration,building_fabric,Interfaces between trades,record,fire_protection_trade;mechanical_trade;electrician;general_contractor,coordination;safety;planning,Which openings need approval and a compatible firestop detail?,Resolve interfaces before closing barriers,One opening through a host with linked passing services,object_id;host_id;service_ids;opening_dimensions;firestop_requirement;approval_status,wall;floor;service_run;installation_observation,penetration;firestop;coordination,Openings span trades and have independent approval work,Link firestop specifications; do not infer required ratings from host names,high,frequent,medium,brainstorm,Expected rework and safety value; current coordination cases do not yet validate a penetration approval workflow.
structural_member,Structural member,structure_civil,Load-bearing construction,record,structural_engineer;structural_trade;estimator,structural_takeoff;coordination;estimating,Which members share section and material and measurable lengths?,Prepare member schedules,One physical structural member at an explicit occurrence scope,object_id;member_role;section_reference;material_reference;axis_reference;length,assembly_specification;support_assembly,structure;steel;timber;concrete,Beams columns and braces share section and axis data,Use member roles; do not treat physical geometry as an analysis model,high,frequent,medium,brainstorm,Expected steel and timber schedule value; connection and analysis detail should follow proven needs.
foundation,Foundation,structure_civil,Ground and foundations,record,structural_engineer;structural_trade;civil_engineer;estimator,structural_takeoff;estimating;coordination,Which foundations need concrete and excavation scope at what elevation?,Coordinate below-grade work,One footing pile or foundation assembly at explicit countable scope,object_id;foundation_role;material_reference;bearing_elevation;volume;assembly_scope,earthwork_zone;structural_member,foundation;below_grade;concrete,Bearing and ground context exceed generic member length,Use roles for piles and caps until separate fields are justified,medium,frequent,medium,brainstorm,Expected quantity value; foundation volume and excavation volume cannot be treated as equivalent.
reinforcement_takeoff,Reinforcement fabrication takeoff,structure_civil,Load-bearing construction,view,structural_trade;structural_engineer;estimator,structural_takeoff;estimating,Which bar shapes and counts are ready for fabrication by pour?,Issue a reinforcement schedule,One selected bar mark and shape within a fabrication scope,bar_mark;host_id;shape_code;diameter;cut_length;count;revision,foundation;structural_member;work_package,reinforcement;fabrication;detail,Fabrication requires more readiness than concrete quantities,Defer until bar shapes and regional scheduling rules exist; do not infer bars from concrete geometry,medium,occasional,large,brainstorm,Potential reinforcement-trade value but detailed source coverage and fabrication rules make this a poor early default.
earthwork_zone,Earthwork zone,structure_civil,Ground and foundations,record,earthworks_trade;civil_engineer;estimator;landscape_architect,landscape;estimating;planning,Where do existing and proposed ground imply cut or fill?,Scope excavation and grading,One named earthwork scope with existing and proposed surfaces,object_id;boundary_reference;existing_surface;proposed_surface;soil_classification;quantity_status,work_package;planting_area,earthworks;terrain;cut_fill,Earthworks need two surface states rather than one object volume,Defer computed volumes until surface coverage and datum alignment are established,medium,occasional,large,brainstorm,Expected civil value; the broad landscape workflow does not yet justify an earthworks calculation engine.
finish_surface,Finish surface,interiors_landscape,Room-facing construction,record,finishing_trade;flooring_trade;ceiling_trade;interior_designer;estimator,finish_schedule;flooring;estimating,Which face needs which finish and how much net area?,Order materials and assign finish work,One distinct finish-bearing surface partition with optional space association,surface_id;host_id;space_id;surface_side;finish_specification;net_area,wall;floor;ceiling;space;assembly_specification,finish;paint;tile;surface,The measured and specified unit is a face rather than its host,Allow unassigned spaces and surface partitions; tag paint tile and coverings,medium,frequent,medium,workflow_scenario,finish_schedule already represents distinct faces and unresolved spaces. Review its domain naming and surface partitions before adding another record with the same grain.
ceiling,Ceiling,interiors_landscape,Room-facing construction,record,ceiling_trade;interior_designer;mechanical_trade,flooring;coordination;finish_schedule,Which ceiling construction and elevation applies and where is access required?,Coordinate ceiling and overhead services,One ceiling construction occurrence with associated spaces and surfaces,object_id;assembly_id;elevation;net_area;void_height;access_provisions,space;finish_surface;air_terminal;lighting_fixture,ceiling;interior;coordination,Ceiling datum and access differ from floor surface information,Use shared assemblies and surfaces; defer grid and hanger detail until needed,high,frequent,medium,brainstorm,Expected reflected-ceiling coordination value; current workflows have not established tile-level requirements.
room_fitout,Room fitout schedule,interiors_landscape,Room-facing construction,view,interior_designer;general_contractor;owner,finish_schedule;architectural_spaces;planning,What finishes fixtures and equipment are specified per room and what is missing?,Review room completeness,One room and fitout category with linked selected items,space_id;category;item_ids;specification_status;quantity_status;coverage,space;finish_surface;sanitary_fixture;lighting_fixture;equipment,room;fitout;completeness,Room review combines records without duplicating their identities,Keep a view; expected categories come from project requirements,medium,frequent,small,brainstorm,"Combines existing finish and asset concepts into a useful room view. Its incremental benefit is coordination and packaging, not a new physical-object identity."
planting_area,Planting area,interiors_landscape,Landscape and external works,record,landscape_trade;landscape_architect;sustainability_analyst,landscape;estimating;carbon,Which areas need which planting and soil preparation quantities?,Prepare landscape scope,One bounded planting or soil-preparation area at a declared layer scope,object_id;boundary_reference;area;planting_specification;soil_depth;irrigation_requirement,earthwork_zone;assembly_specification,landscape;soil;planting,Area-based planting differs from individually tracked assets,Separate area and soil-layer quantities; avoid classes per species,medium,frequent,medium,brainstorm,Expected landscape-trade value; ecological outcomes require more than planting area and species labels.
landscape_asset,Landscape asset,interiors_landscape,Landscape and external works,record,landscape_trade;landscape_architect;facility_manager,landscape;asset_handover,Which individual trees or furnishings need installation or care records?,Count and hand over selected assets,One individually tracked landscape occurrence,object_id;asset_role;specification;size_class;installation_status;care_reference,planting_area;asset_service_requirements,landscape;tree;site_furniture,Individual care can require identity beyond a planting polygon,Use roles initially; keep bulk planting area-based and defer botanical lifecycle detail,medium,occasional,medium,brainstorm,Useful when individual tracking is required; low-value identities for every planting would inflate the model.
equipment,Equipment and plant overview,systems_equipment,Plant and terminals,view,mechanical_engineer;mechanical_trade;electrician;facility_manager,mep_trace;asset_handover;coordination,Which plant items exist by system and what handover or connection data is missing?,Navigate equipment and review common handover coverage,One identified equipment occurrence in a cross-system overview,object_id;equipment_role;tag;type_reference;system_ids;port_ids;handover_coverage,space;service_run;service_access;asset_service_requirements,equipment;plant;maintenance,A cross-system overview helps navigation without defining every machine through generic properties,Keep this a view; pump duty and air-handler performance need separate typed records when specific workflows justify them,medium,frequent,medium,workflow_scenario,component_schedule and asset_register already provide much of the inventory. A cross-system overview adds readable joins and gaps; it does not justify a generic duty model.
air_terminal,Air terminal,systems_equipment,Plant and terminals,record,mechanical_engineer;mechanical_trade;ceiling_trade,mep_trace;coordination;building_performance,Which terminal serves each space at what design airflow?,Coordinate terminal schedules and ceiling openings,One air terminal occurrence serving a space or zone,object_id;terminal_role;system_id;served_space_id;design_flow;connection_size,space;service_run;ceiling,hvac;airflow;terminal,Room service and airflow exceed generic equipment naming,Use roles for diffusers and grilles; distinguish design and measured flow,high,frequent,medium,brainstorm,Expected mechanical value; terminal proximity cannot prove connectivity or balanced airflow.
sanitary_fixture,Sanitary fixture,systems_equipment,Plant and terminals,record,plumbing_trade;plumbing_engineer;interior_designer;facility_manager,plumbing_takeoff;asset_handover;coordination,Which fixtures are specified per space and what connections are required?,Count and coordinate supply and waste scope,One installed or scheduled sanitary fixture occurrence,object_id;fixture_role;space_id;type_reference;water_use_basis;supply_ports;waste_ports,space;service_run;valve,plumbing;sanitation;fixture,Toilets basins and showers share schedule and connection needs,Use a toilet role; add a subtype only for repeated distinct fields,high,frequent,medium,brainstorm,Expected plumbing and interior value; fixture units and consumption require explicit rule or measurement bases.
service_run,Service route geometry and endpoints,systems_equipment,Distribution networks,facet,mechanical_trade;electrician;plumbing_trade;mechanical_engineer;plumbing_engineer,mep_trace;plumbing_takeoff;electrical_schedule;coordination,Where does this service segment run and which endpoints have supported links?,Reuse routing context across trade-specific schedules,One physical service occurrence and its route representation,object_id;route_geometry;frame_id;port_ids;segmentation_basis;connection_coverage,duct_segment;pipe_segment;distribution_panel;equipment,pipe;duct;cable_tray;network,Route and endpoint context is reusable without replacing discipline-specific records,Apply alongside duct and pipe records; trays need their own workflow before further specialization,high,frequent,large,workflow_scenario,Trace cases justify shared routing context; duct airflow and pipe service properties belong to concrete trade records rather than a universal service type.
distribution_panel,Electrical distribution panel,systems_equipment,Electrical supply and devices,record,electrician;electrical_engineer;facility_manager,electrical_schedule;mep_trace;asset_handover,Which panel supplies each circuit and what capacity and access information is known?,Review supply schedules and isolation scope,One panel or electrical board occurrence,object_id;tag;voltage;phase_configuration;rated_current;upstream_reference;circuit_references,service_run;service_access;lighting_fixture,electrical;panel;circuit,Circuits and supply characteristics justify a recurring electrical model,Start circuit detail as relationships; avoid classes per panel style,high,frequent,medium,brainstorm,Expected electrical-specific value; phase and spare-capacity calculations need explicit conventions.
lighting_fixture,Lighting fixture,systems_equipment,Electrical supply and devices,record,electrician;electrical_engineer;interior_designer;facility_manager,electrical_schedule;coordination;building_performance,Which luminaires belong to each room and circuit and serve emergency lighting?,Prepare fixture schedules,One installed luminaire occurrence,object_id;type_reference;space_id;circuit_reference;input_power;emergency_role;control_group,space;distribution_panel;ceiling,lighting;electrical;emergency,Count power and emergency role recur across electrical and interior tasks,Reference photometric files; defer illumination simulation,high,frequent,medium,brainstorm,Expected schedule value; emergency role alone cannot prove emergency-lighting compliance.
valve,Valve,systems_equipment,Distribution networks,record,plumbing_trade;mechanical_trade;facility_manager,mep_trace;plumbing_takeoff;asset_handover,Which valve controls this branch and can staff identify and reach it?,Plan inspection and isolation review,One valve occurrence with a control or isolation role,object_id;tag;valve_role;nominal_size;system_id;port_ids;normal_position,service_run;service_access;asset_service_requirements,valve;isolation;maintenance,Operational role and normal position matter beyond a fitting count,Do not infer safe isolation from tags; defer actuator internals,high,frequent,medium,brainstorm,Expected operating value; trustworthy isolation additionally requires complete topology and current state.
drain,Drain inlet,systems_equipment,Plant and terminals,record,plumbing_trade;plumbing_engineer;roofer;civil_engineer,plumbing_takeoff;roof_takeoff;coordination,Which areas discharge through each drain and what outlet data is known?,Coordinate roof and floor drainage,One drain inlet with declared catchment references,object_id;drain_role;inlet_elevation;outlet_size;system_id;catchment_references,roof;floor;service_run;earthwork_zone,drainage;roof;plumbing,A drain links a surface catchment with a network,Keep catchments explicit; defer hydraulic inference until boundary conditions exist,high,frequent,medium,brainstorm,Expected cross-trade value; the roof scenario covers areas and does not validate drainage logic.
fire_protection_terminal,Fire-protection terminal,systems_equipment,Plant and terminals,record,fire_protection_trade;safety_auditor;facility_manager,coordination;safety;asset_handover,Which heads or service outlets belong to each protection system and lack inspection data?,Prepare installation and inspection scope,One terminal occurrence with declared protection role,object_id;terminal_role;system_id;location;rating_reference;inspection_requirement,space;service_run;ceiling;installation_observation,fire_protection;inspection;terminal,Protection roles and inspection needs recur over project stages,Use explicit roles; defer coverage and hydraulic adequacy calculations,medium,frequent,medium,brainstorm,Expected fire-trade schedule value; missing terminals cannot establish absence or adequate coverage.
support_assembly,Service support assembly,systems_equipment,Interfaces between trades,record,mechanical_trade;electrician;structural_trade;general_contractor,coordination;planning;estimating,Which supports carry routes and need attachment approval?,Coordinate hangers and attachments,One support or rack assembly carrying one or more services,object_id;support_role;supported_ids;host_id;load_requirement;attachment_specification;approval_status,service_run;structural_member;work_package,support;hanger;rack;attachment,Supports span structure and services with independent installation scope,Begin with explicit supports; defer automatic layout and seismic detailing,medium,occasional,large,brainstorm,Potential coordination value when detail exists; source coverage may make early support taxonomy expensive.
assembly_specification,Construction assembly specification,materials_measurement,Specifications and quantities,record,architect;estimator;roofer;partition_trade;sustainability_analyst,roof_takeoff;finish_schedule;estimating;carbon,Which layers and specifications define this construction and what remains unspecified?,Reuse specifications and allocate material scope,One versioned assembly specification with component ordering defined,specification_id;version;name;component_references;layer_order_basis;performance_requirements,roof;wall;floor;finish_surface,assembly;material;specification,Shared specifications differ from installed occurrences and quantities,Avoid universal composition theory; add layers where takeoff or performance needs them,high,frequent,medium,workflow_scenario,Roof grouping and carbon contributions need reusable specifications; layer ordering and measurement remain open.
quantity_takeoff,Selected quantity takeoff,materials_measurement,Specifications and quantities,view,estimator;roofer;flooring_trade;structural_trade;plumbing_trade,roof_takeoff;finish_schedule;estimating;structural_takeoff;plumbing_takeoff,What quantity can I sum and which items remain unmeasured?,Produce defensible takeoff totals,One selected quantity per subject and basis within a scope,subject_id;scope_id;quantity_kind;basis;amount;unit;selection_reason;coverage_status,roof;finish_surface;assembly_specification;work_package,quantity;takeoff;coverage,Users need additive selected quantities rather than competing observations,Preserve observations; never sum overlapping assembly and part scope,medium,frequent,medium,workflow_scenario,Selected quantity observations and scopes already exist. Additional value is a readable coverage-aware view and documented additive grouping.
work_package,Trade work package,commercial_delivery,Scope and delivery,record,general_contractor;project_manager;estimator,estimating;planning;safety,Which objects and activities are in this package and what prevents release?,Assign and price explicit work scope,One package within a project planning scenario,package_id;trade;name;scope_memberships;release_status;dependency_references,quantity_takeoff;procurement_line;installation_observation,package;trade;planning,Commercial scope may contain many objects and tasks without geometry,Keep scenarios explicit; avoid building a full scheduling system,medium,frequent,medium,workflow_scenario,work_packages already scopes the estimate example. Dependencies and release readiness should extend that contract once additional cases establish their meaning.
procurement_line,Procurement requirement,commercial_delivery,Scope and delivery,view,estimator;general_contractor;door_supplier;project_manager,estimating;door_audit;planning,Which specified items must be ordered and what prevents ordering?,Prepare order scope and resolve selections,One required purchasable item or specification in a package and scenario,package_id;item_reference;specification_reference;required_quantity;unit;required_date;readiness_status,work_package;door;equipment;assembly_specification,procurement;bidding;delivery,Purchased grouping differs from occurrence and installed quantity,Separate requirement from order and shipment; supplier terms require external data,high,frequent,medium,brainstorm,Expected contractor value; current scenarios do not provide prices lead times or delivery commitments.
installation_observation,Installation or delivery observation,commercial_delivery,Scope and delivery,record,general_contractor;door_supplier;project_manager;safety_auditor,door_audit;planning;safety,What was delivered or installed against requirements and what supports that observation?,Accept flag or clarify an item,One dated observation of a subject against a declared stage,observation_id;subject_id;stage;observed_at;observed_condition;evidence_references;review_status,door;equipment;penetration;work_package,audit;delivery;installation;evidence,Site observation differs from design intent and interpretation,Record observations first; defer capture apps and transaction systems,high,frequent,medium,brainstorm,Door audits motivate this extension but current cases concern model evidence; delivery observations need independent field evidence.
asset_service_requirements,Asset service requirements,operations_performance,Operate and maintain,facet,facility_manager;owner;mechanical_trade,asset_handover;mep_trace,What documentation access and service obligations belong to this item?,Review handover readiness,One asset and versioned service requirement set,object_id;maintainable_status;manual_references;warranty_reference;service_requirements;handover_coverage,equipment;valve;landscape_asset;service_access,asset;handover;maintenance,Maintainability cuts across physical categories without duplicating identity,Apply a facet to existing objects; keep events in operational systems,high,frequent,small,workflow_scenario,Handover explicitly tracks unknown manuals and maintainability; extra warranty and service fields require validation.
maintenance_plan,Maintenance planning view,operations_performance,Operate and maintain,view,facility_manager;owner,asset_handover;planning,Which services are due and what access or shutdown constraints apply?,Plan maintenance scope,One asset service task in a planning period and schedule version,object_id;service_task;due_window;requirement_reference;access_constraints;shutdown_dependencies,asset_service_requirements;service_access;valve,maintenance;schedule;operations,Service planning combines requirements dates and operating constraints,Defer due-date computation until history and authoritative intervals are connected,medium,occasional,large,brainstorm,Valuable to facilities but static BIM is insufficient; handover does not justify a maintenance management system.
impact_breakdown,Material impact breakdown,environment_assessment,Impact and requirements,view,sustainability_analyst;estimator;owner;portfolio_analyst,carbon;portfolio;estimating,What contributes to carbon results and how much scope lacks factors?,Compare alternatives with visible coverage,One additive contribution and factor application in a scenario and life-cycle module,contribution_id;scope_id;scenario_id;module;quantity;factor_reference;impact;coverage_status,assembly_specification;quantity_takeoff;work_package,carbon;material;scenario;coverage,Impact needs factor and module context beyond a material label,Retain exclusions and uncertainty; defer full ecological impact claims,medium,frequent,medium,workflow_scenario,"impact_lines already carries additive contribution, factor and module context. Reuse it for breakdowns; independently prove aggregation and coverage additions."
requirement_assessment,Requirement assessment results,environment_assessment,Impact and requirements,view,safety_auditor;architect;general_contractor;facility_manager,door_audit;egress;safety;asset_handover,Which requirements passed failed or could not be assessed and why?,Direct review to failures and missing evidence,One subject against one versioned requirement in a scenario,subject_id;requirement_reference;scenario_id;result;input_coverage;reason;evidence_references,door;space;installation_observation;asset_service_requirements,audit;requirements;coverage,A result is an explainable decision rather than a boolean property,Use domain evaluators later; avoid a universal executable rule language now,low,frequent,medium,workflow_scenario,"assessments already represents this row grain, result and incomplete inputs. Reuse its result view; a second independent assessment record adds little. This does not devalue safety work."
evidence_issue,Model evidence issues,flexible_evidence,Evidence review,view,project_manager;architect;general_contractor;facility_manager,door_audit;asset_handover;planning;coordination,Which missing or conflicting fields block this workflow?,Prioritize data repair for a decision,One evidence issue affecting a subject field and workflow in a snapshot,subject_id;field;workflow_id;issue_kind;blocking_decision;source_references;resolution_status,work_package;requirement_assessment,quality;coverage;review,Missing fields have different consequences in different workflows,Do not rank every optional missing field as an equal defect,high,frequent,small,workflow_scenario,Unknown audit and handover cases justify actionable gaps; assignment and resolution histories require collaboration data.
acoustic_response,Detailed acoustic response,environment_assessment,Specialist analysis,capability,architect;interior_designer;performance_analyst,building_performance;architectural_spaces,How might finishes and transmission paths affect room acoustics across frequency bands?,Compare specialist acoustic alternatives,One analysis metric for a space or path and frequency band in a scenario,scenario_id;subject_id;frequency_band;metric;result;boundary_conditions;method_reference,space;finish_surface;wall,acoustics;simulation;specialist,Frequency-specific results differ from a simple product rating,Defer simulation and detailed taxonomy until a specialist workflow and corpus justify them,low,rare,large,brainstorm,Possible specialist value but no current acoustic scenario and insufficient boundary conditions; low priority refers only to initial scope.
duct_segment,Duct segment,systems_equipment,Distribution networks,record,mechanical_trade;mechanical_engineer;ceiling_trade,mep_trace;coordination;building_performance,Which duct sizes constructions and design airflows are assigned to each HVAC route?,Prepare duct schedules and coordinate fabrication scope,One physical duct segment with declared segment boundaries,object_id;system_id;section_shape;section_dimensions;material;lining;insulation;design_airflow;flow_basis,service_run;air_terminal;equipment;support_assembly,duct;hvac;airflow;fabrication,Section shape lining and airflow are familiar mechanical fields with distinct meanings,Keep fittings as linked occurrences when fabrication needs them; do not derive airflow from geometry,high,frequent,medium,brainstorm,Expected mechanical schedule value; generic connectivity scenarios support links but do not establish duct lining or design-flow evidence.
pipe_segment,Pipe segment,systems_equipment,Distribution networks,record,plumbing_trade;plumbing_engineer;mechanical_trade;fire_protection_trade,plumbing_takeoff;mep_trace;coordination,Which pipe sizes materials and service requirements apply to each run?,Prepare pipe schedules and check service-specific requirements,One physical pipe segment with declared segment boundaries,object_id;system_id;service_medium;nominal_size;material;length;optional_slope;optional_pressure;pressure_basis,service_run;valve;drain;sanitary_fixture;support_assembly,pipe;plumbing;mechanical;piping,Nominal size service medium and slope or pressure requirements differ from duct airflow fields,Use optional drainage or pressure facets where applicable; do not force every pipe to have both,high,frequent,medium,brainstorm,Expected plumbing and mechanical value; slope and pressure remain explicitly conditional rather than inferred from generic route geometry.
