GlobalId,Category,cost
2Dmljw8uHCLBZQQu9H5fNw,IFCMEMBER,58.11
2Dmljw8uHCLBZQQu9H5fK9,IFCMEMBER,52.79
2Dmljw8uHCLBZQQu9H5fNQ,IFCPLATE,159.04
2Dmljw8uHCLBZQQu9H5fNI,IFCPLATE,108.68
08AjPVhWzAfA8XtWBWZsdi,IFCBUILDINGELEMENTPROXY,1.54
3WJfQUHe1A3x25MI_xeXK8,IFCLIGHTFIXTURE,210
3WJfQUHe1A3x25MI_xeXKv,IFCLIGHTFIXTURE,210
3o5gkqdY9E6A2F1wtqtPfj,IFCLIGHTFIXTURE,210
1JU62QTXfD2RUOVIJGrI3A,IFCBUILDINGELEMENTPROXY,1.31
21U07TPLv4F9zfrV5Euni3,IFCCURTAINWALL,45274.87
21U07TPLv4F9zfrV5EuniF,IFCPLATE,282.04
21U07TPLv4F9zfrV5EuniT,IFCMEMBER,86.9
21U07TPLv4F9zfrV5EunjZ,IFCMEMBER,86.9
21U07TPLv4F9zfrV5Eunjh,IFCMEMBER,86.9
21U07TPLv4F9zfrV5Eunjq,IFCMEMBER,145.83
21U07TPLv4F9zfrV5EunjH,IFCMEMBER,85
21U07TPLv4F9zfrV5EunjU,IFCMEMBER,85
0m3ylIKyvFIf90OJWdRdsA,IFCFURNITURE,480
0m3ylIKyvFIf90OJWdRdsL,IFCFURNITURE,480
0d_HunAzzAPg4$RxtR7pks,IFCBUILDINGELEMENTPROXY,0.27
2F3zBK1BH8DBfhr$IH1Obu,IFCBUILDINGELEMENTPROXY,0.05
2F3zBK1BH8DBfhr$IH1OYG,IFCBUILDINGELEMENTPROXY,0.05
2F3zBK1BH8DBfhr$IH1OYh,IFCBUILDINGELEMENTPROXY,1.1
2F3zBK1BH8DBfhr$IH1OZB,IFCBUILDINGELEMENTPROXY,1.1
2F3zBK1BH8DBfhr$IH1OZL,IFCBUILDINGELEMENTPROXY,0.05
37O9F6zDH7NuO6lYxEN7lF,IFCWALL,45.7
30zSZjFxH19R7IhI893raA,IFCLIGHTFIXTURE,210
30zSZjFxH19R7IhI893rg_,IFCLIGHTFIXTURE,210
30zSZjFxH19R7IhI893qCU,IFCLIGHTFIXTURE,210
30zSZjFxH19R7IhI893q9U,IFCLIGHTFIXTURE,210
3Pa9TWKvP7U8BPMR24iKbn,IFCSLAB,215.84
2Dmljw8uHCLBZQQu9H5fNd,IFCMEMBER,68.36
1HuOQ2xWrE6xc43TABXj_o,IFCLIGHTFIXTURE,210
2D__Q4Y5P5xRNt_QCA48sa,IFCSTAIR,4200
1sXdHX7zj82gQ8fyf1aZM7,IFCBUILDINGELEMENTPROXY,0.3
1sXdHX7zj82gQ8fyf1aZNP,IFCBUILDINGELEMENTPROXY,0.49
128PB7rvH4mfupwLkPTVrU,IFCLIGHTFIXTURE,210
2MAHRuCXP51wFXs0k0D8sH,IFCPLATE,89.7
1aXCSk$gDEVQyZFyB5Khzv,IFCWALL,141.97
0usV6tDDnFohq5PghQ5D4m,IFCWALL,97.52
0usV6tDDnFohq5PghQ5D4n,IFCWALL,97.52
0usV6tDDnFohq5PghQ5D2b,IFCBUILDINGELEMENTPROXY,1.12
0usV6tDDnFohq5PghQ5D2n,IFCBUILDINGELEMENTPROXY,1.12
0usV6tDDnFohq5PghQ5D2r,IFCBUILDINGELEMENTPROXY,1.12
2cjIMZpBv7Bx_yWTejjN5D,IFCWALL,118.77
3oWRtKgGH6quoh0HBRWZHg,IFCBUILDINGELEMENTPROXY,66.54
3oWRtKgGH6quoh0HBRWZ1G,IFCWALL,3.26
34lqDYnzHB3wmZslDJwlAn,IFCWALL,2.14
34lqDYnzHB3wmZslDJwlAP,IFCWALL,7.74
0ATjEYD_L8bwfk_bfy3iWJ,IFCWALL,1.51
359zRRFDT1vRiwFSrqNXty,IFCLIGHTFIXTURE,210
0yuIaJzffD5AfrddYB8TNT,IFCWALL,1.7
0l1uiLxhf6Sh$CRbsdNO6Q,IFCSLAB,5.94
0l1uiLxhf6Sh$CRbsdNPvj,IFCSLAB,46.94
0l1uiLxhf6Sh$CRbsdNPt8,IFCBUILDINGELEMENTPROXY,14.42
0LC$9$2dX7$gor7712GhKW,IFCWALL,63.89
1dKu5zsdHE_A8Pn$AaqewL,IFCWALL,30
2sZrw6C5b5Ih3WSLyhiEu3,IFCWALL,188.17
2xoycrPpH7EOfiZC0iDSid,IFCWALL,94.65
0j49MZvDrAEu6uW6jnTMRx,IFCLIGHTFIXTURE,210
0j49MZvDrAEu6uW6jnTMQP,IFCLIGHTFIXTURE,210
0j49MZvDrAEu6uW6jnTMQd,IFCLIGHTFIXTURE,210
0j49MZvDrAEu6uW6jnTML7,IFCLIGHTFIXTURE,210
0Lwxb_BUfALAc2_$BhZc7c,IFCWALL,132.94
0Lwxb_BUfALAc2_$BhZc7L,IFCWALL,90.02
0Lwxb_BUfALAc2_$BhZc6X,IFCWALL,131.32
10$nTTYwHDYQgso2$xPFp6,IFCWALL,161.36
3IP1NcR8H1yQoZHEVfIrpr,IFCLIGHTFIXTURE,210
37O9F6zDH7NuO6lYxEN7hg,IFCWALL,25.84
37O9F6zDH7NuO6lYxEN7hv,IFCWALL,45.7
3Pa9TWKvP7U8BPMR24iK2F,IFCLIGHTFIXTURE,210
0DciJ_E7T338RZ8d5_Z0x3,IFCCOLUMN,1056
0DciJ_E7T338RZ8d5_Z0Wk,IFCCOLUMN,1056
0aoNsuD5j4$9eV5sDQfWVf,IFCSLAB,205.66
1df_AX8lj42QG_5UAC4g_y,IFCWALL,7.08
1df_AX8lj42QG_5UAC4g3f,IFCSLAB,176.48
2KlzI5wW9AsOx8hJvqWNpw,IFCSLAB,990.67
2KlzI5wW9AsOx8hJvqWNq2,IFCSLAB,157.84
3TU2oe8q5EWBZPZ9aDFzxr,IFCSLAB,2050.75
31Lh0hm7f2YQiB4BjLDm18,IFCSLAB,153.02
2CN5jdBAn0heeMXkK42zQH,IFCWALL,334.13
2rQ6HIlln21RpLYJ5AVwtL,IFCCOLUMN,714.12
3DXKBuZLPBzw30xfYN9u7u,IFCWALL,60.53
3DXKBuZLPBzw30xfYN9uxa,IFCWALL,53.7
3DXKBuZLPBzw30xfYN9uvo,IFCWALL,130.05
3vN2Fl6Az8C9cBZizN$HQK,IFCBUILDINGELEMENTPROXY,9.75
22T8RHjlP7sPxAvJUQWvZL,IFCWALL,52.11
22T8RHjlP7sPxAvJUQWvWj,IFCWALL,52.11
1EElBOt7v3W9v9xz3vHNnE,IFCFURNITURE,480
0eDgNlL91F2QoCDuZZMK_x,IFCLIGHTFIXTURE,210
3uZKf59$50gfUnuEmGsrLg,IFCWALL,109.02
0q9es9kCD4oOj_kMIudRTK,IFCPLATE,44.24
0q9es9kCD4oOj_kMIudRTX,IFCMEMBER,69.12
0q9es9kCD4oOj_kMIudRTO,IFCMEMBER,15.95
02_CiyN659neOqt2G8Oloc,IFCMEMBER,15.95
2ch6GiTYr6ofWwBJULtROs,IFCPLATE,190.9
2ch6GiTYr6ofWwBJULtROv,IFCPLATE,44.24
2ch6GiTYr6ofWwBJULtROP,IFCMEMBER,15.95
2ch6GiTYr6ofWwBJULtRUg,IFCMEMBER,72.92
343IftMCP4UOCLPJnm954o,IFCPLATE,44.24
343IftMCP4UOCLPJnm954M,IFCPLATE,44.24
343IftMCP4UOCLPJnm954R,IFCPLATE,191.69
3VPu6Q9HP8$RPQyOwZd3lq,IFCPLATE,42.78
3VPu6Q9HP8$RPQyOwZd3lr,IFCPLATE,185.37
343IftMCP4UOCLPJnm955B,IFCMEMBER,36.84
343IftMCP4UOCLPJnm955K,IFCMEMBER,71.02
343IftMCP4UOCLPJnm955G,IFCMEMBER,72.92
343IftMCP4UOCLPJnm954c,IFCMEMBER,72.92
343IftMCP4UOCLPJnm954e,IFCMEMBER,36.84
343IftMCP4UOCLPJnm954w,IFCMEMBER,15.95
343IftMCP4UOCLPJnmEwxW,IFCMEMBER,72.92
343IftMCP4UOCLPJnmEwxp,IFCMEMBER,15.95
343IftMCP4UOCLPJnmEwxD,IFCMEMBER,38.74
3VPu6Q9HP8$RPQyOwZd3lY,IFCMEMBER,68.74
04b3cqL6T7nASkHPv$no5W,IFCMEMBER,51.27
04b3cqL6T7nASkHPv$no5c,IFCMEMBER,56.21
04b3cqL6T7nASkHPv$no5s,IFCCURTAINWALL,7772.92
04b3cqL6T7nASkHPv$no5z,IFCPLATE,279.17
04b3cqL6T7nASkHPv$no4E,IFCMEMBER,58.49
04b3cqL6T7nASkHPv$no4z,IFCMEMBER,58.49
04b3cqL6T7nASkHPv$noxH,IFCMEMBER,58.49
04b3cqL6T7nASkHPv$noxR,IFCMEMBER,60.38
04b3cqL6T7nASkHPv$noxl,IFCBUILDINGELEMENTPROXY,0.13
1yjzQ_fH5D2ulNYAuuyBaK,IFCMEMBER,51.65
1yjzQ_fH5D2ulNYAuuyBaM,IFCMEMBER,115.45
04b3cqL6T7nASkHPv$now6,IFCPLATE,133.7
04b3cqL6T7nASkHPv$nowG,IFCPLATE,133.7
04b3cqL6T7nASkHPv$nowN,IFCPLATE,133.7
04b3cqL6T7nASkHPv$nowP,IFCPLATE,133.7
1yjzQ_fH5D2ulNYAuuyBaV,IFCMEMBER,115.45
04b3cqL6T7nASkHPv$nowg,IFCPLATE,63.68
04b3cqL6T7nASkHPv$nowu,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$nov3,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$novP,IFCMEMBER,4.68
04b3cqL6T7nASkHPv$nova,IFCMEMBER,4.68
04b3cqL6T7nASkHPv$nove,IFCMEMBER,4.68
04b3cqL6T7nASkHPv$novk,IFCMEMBER,4.68
04b3cqL6T7nASkHPv$novu,IFCMEMBER,4.68
04b3cqL6T7nASkHPv$nouJ,IFCMEMBER,2.31
1yjzQ_fH5D2ulNYAuuyBvo,IFCMEMBER,51.65
04b3cqL6T7nASkHPv$no$u,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$no_$,IFCMEMBER,4.68
1yjzQ_fH5D2ulNYAuuyBb8,IFCMEMBER,51.65
04b3cqL6T7nASkHPv$noyc,IFCPLATE,133.7
1yjzQ_fH5D2ulNYAuuyBbj,IFCPLATE,63.68
04b3cqL6T7nASkHPv$nop8,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$nopI,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$nooK,IFCMEMBER,4.68
1yjzQ_fH5D2ulNYAuuyBbl,IFCMEMBER,2.4
04b3cqL6T7nASkHPv$nom5,IFCMEMBER,2.17
04b3cqL6T7nASkHPv$noma,IFCPLATE,133.7
04b3cqL6T7nASkHPv$nomn,IFCPLATE,61.83
04b3cqL6T7nASkHPv$notK,IFCDOOR,2282.72
04b3cqL6T7nASkHPv$notV,IFCWINDOW,3321.76
04b3cqL6T7nASkHPv$notw,IFCPLATE,61.83
04b3cqL6T7nASkHPv$nos0,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$nosD,IFCMEMBER,2.17
0swtehvpv5Xh4hPQqBXFWt,IFCMEMBER,2.4
04b3cqL6T7nASkHPv$nose,IFCMEMBER,47.09
04b3cqL6T7nASkHPv$norF,IFCBUILDINGELEMENTPROXY,1.15
04b3cqL6T7nASkHPv$noqr,IFCPLATE,133.7
04b3cqL6T7nASkHPv$nohP,IFCMEMBER,4.68
1niWRop5j6XxysFSVum4uw,IFCCOLUMN,1203
0XunQJuDrCywXJ370JIT96,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT91,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT93,IFCFURNITURE,480
0XunQJuDrCywXJ370JITE6,IFCFURNITURE,480
0XunQJuDrCywXJ370JITE0,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT7L,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT6r,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT6s,IFCFURNITURE,480
0XunQJuDrCywXJ370JIT6a,IFCFURNITURE,480
2sCvyR6xL9WPXuzdrVeym4,IFCCOLUMN,322.86
3SnOVw7ojDZ8nnFzhqldik,IFCMEMBER,56.71
3SnOVw7ojDZ8nnFzhqldin,IFCMEMBER,25.44
3SnOVw7ojDZ8nnFzhqldyg,IFCMEMBER,85.05
3SnOVw7ojDZ8nnFzhqld$1,IFCMEMBER,98.36
3SnOVw7ojDZ8nnFzhqld$6,IFCMEMBER,81.27
3SnOVw7ojDZ8nnFzhqld$Q,IFCMEMBER,42.91
3SnOVw7ojDZ8nnFzhqldx_,IFCMEMBER,54.81
3SnOVw7ojDZ8nnFzhqldxs,IFCMEMBER,24.31
3SnOVw7ojDZ8nnFzhqld5P,IFCMEMBER,54.81
3SnOVw7ojDZ8nnFzhqldLV,IFCCURTAINWALL,1193.36
0V7b1sZrLBF8P59YUseL$6,IFCPLATE,109.51
3SnOVw7ojDZ8nnFzhqlci_,IFCPLATE,59.97
3SnOVw7ojDZ8nnFzhqlcir,IFCMEMBER,2.19
1lxqaTga9DvxFctJPFetI$,IFCWALL,609.54
1lxqaTga9DvxFctJPFetOR,IFCWALL,591.81
1G_I00WlX2MBQekqB04dCi,IFCWALL,2377.69
1PXhyobVjFBBmnnrKsD4O_,IFCBUILDINGELEMENTPROXY,16.97
1PXhyobVjFBBmnnrKsD41d,IFCWALL,742.01
1PXhyobVjFBBmnnrKsD41b,IFCWALL,480.46
1PXhyobVjFBBmnnrKsD41W,IFCBUILDINGELEMENTPROXY,16.97
1PXhyobVjFBBmnnrKsD41i,IFCBUILDINGELEMENTPROXY,16.97
1zJ5d22gn4RA$hT3nRgklw,IFCWALL,718.52
21$tDpUWDEtxLZIWIT_3C1,IFCBUILDINGELEMENTPROXY,1336.61
1dQuNrVRX7Z8lBw2sv8hoY,IFCSLAB,2977.14
31rKK5OS94d9cPXIYeNUL4,IFCBUILDINGELEMENTPROXY,1.62
1nMwdyzlT4AuQ_X$HWZCgF,IFCWALL,3131.44
07qCfCfOH2$9ZHLwxaU8Rv,IFCDOOR,1849.63
15yYit$qr3jes0JF4Uq11J,IFCWALL,7406.14
2mejqQiN994Q2UMYaLHeJu,IFCWALL,1224.58
1nVAY8og5DUQW261No7qct,IFCDOOR,1878.52
0s9hxL8vH4AQpm7LXCLUn3,IFCWALL,1032.68
0s9hxL8vH4AQpm7LXCLUwj,IFCWALL,57.64
15xKUPqIHAl8uhdIa8aDcT,IFCWALL,356.96
15xKUPqIHAl8uhdIa8aD4Q,IFCWALL,860.26
15xKUPqIHAl8uhdIa8aD2l,IFCWALL,748.41
2Lnwlbilr8xxJKRFN714wY,IFCWALL,1925.39
1Un9ptyoX1vey29ZkM5AXu,IFCBUILDINGELEMENTPROXY,0.19
0K0FV0u6b9L9sDGL7lHFs8,IFCWALL,36.56
0K0FV0u6b9L9sDGL7lH9SY,IFCBUILDINGELEMENTPROXY,0.69
0K0FV0u6b9L9sDGL7lH94v,IFCFURNITURE,480
28fEL2KJH3nefH9oQJhuQs,IFCWALL,37.63
28fEL2KJH3nefH9oQJhuQY,IFCFURNITURE,480
28fEL2KJH3nefH9oQJhuQb,IFCFURNITURE,480
28fEL2KJH3nefH9oQJhuSK,IFCWALL,211.61
28fEL2KJH3nefH9oQJhuSR,IFCWALL,9.75
28fEL2KJH3nefH9oQJhuSv,IFCFURNITURE,480
321qo6Jt58aRGW1V_saw2C,IFCWALL,30.93
321qo6Jt58aRGW1V_saw9Z,IFCWALL,43.88
321qo6Jt58aRGW1V_saw9W,IFCWALL,36.56
321qo6Jt58aRGW1V_sawAn,IFCWALL,36.56
321qo6Jt58aRGW1V_sawCT,IFCFURNITURE,480
321qo6Jt58aRGW1V_sawC_,IFCWALL,33.67
321qo6Jt58aRGW1V_sawCj,IFCBUILDINGELEMENTPROXY,16.02
321qo6Jt58aRGW1V_sawDN,IFCFURNITURE,480
321qo6Jt58aRGW1V_sawDV,IFCFURNITURE,480
321qo6Jt58aRGW1V_sawDC,IFCWALL,31.69
1sqRaCGxn09vsPk5LktK3V,IFCBUILDINGELEMENTPROXY,0.69
1sqRaCGxn09vsPk5LktLWF,IFCFURNITURE,480
1sqRaCGxn09vsPk5LktLW0,IFCBUILDINGELEMENTPROXY,63.35
2gDGg7MA90nQHvffsvVo4P,IFCWINDOW,2707.41
2DrlDkmyDFLerHNnIG0pSR,IFCWALL,31.69
2DrlDkmyDFLerHNnIG0pSG,IFCFURNITURE,480
2DrlDkmyDFLerHNnIG0pVv,IFCWALL,5.85
3k0mOVrxHEQhEN_aJoHyot,IFCDOOR,1768.73
0U4XQxUbT6Kgsr80BN4mQl,IFCFURNITURE,480
0U4XQxUbT6Kgsr80BN4mQS,IFCBUILDINGELEMENTPROXY,0.69
0U4XQxUbT6Kgsr80BN4mnL,IFCBUILDINGELEMENTPROXY,0.69
0U4XQxUbT6Kgsr80BN4mrj,IFCBUILDINGELEMENTPROXY,34.01
0U4XQxUbT6Kgsr80BN4mtg,IFCFURNITURE,480
3GuctGX8545vrPF3ptGm9u,IFCSLAB,1688.23
0swtehvpv5Xh4hPQqBXFY9,IFCMEMBER,2.31
04b3cqL6T7nASkHPv$nogr,IFCBUILDINGELEMENTPROXY,1.15
2QDy_PLVb31xm6$QTp1u7B,IFCCOLUMN,435.81
3AQwX$e_j0ZPcGzWWO1ikN,IFCDOOR,1457.23
3Ff9G3z7n2P9bWgey4$Wnl,IFCBUILDINGELEMENTPROXY,0.19
0S48Krk_r2AxoJZN1L_mYf,IFCDOOR,1744.34
0F8MBhrI9DsuFtYcLuUhJn,IFCWALL,165.84
2CYMLiCRX28Bytt8lqanFV,IFCWALL,8.51
3Exf$uKEj6vBh5DuRp1ROq,IFCWALL,126.37
1do79UPsT5QgT3kMg0ohrh,IFCFURNITURE,480
1do79UPsT5QgT3kMg0ohru,IFCFURNITURE,480
1do79UPsT5QgT3kMg0ohob,IFCFURNITURE,480
1do79UPsT5QgT3kMg0ohoa,IFCFURNITURE,480
1do79UPsT5QgT3kMg0ohpi,IFCBUILDINGELEMENTPROXY,33.39
1do79UPsT5QgT3kMg0ohug,IFCWALL,371.04
3x08GjNxXAUwp6Nup35kmH,IFCFURNITURE,480
2XHYIYzAHChPcvcG26L_yF,IFCWALL,158.22
2Ytno7yd91dQAhhP73Exwf,IFCWALL,30.16
34mODHFQDC3ezsKZ2MOG8z,IFCWALL,174.23
3eqETIWmT5yuBevKr2XxFw,IFCWALL,143.18
3eqETIWmT5yuBevKr2XxPr,IFCBUILDINGELEMENTPROXY,0.19
3eqETIWmT5yuBevKr2XxQG,IFCWALL,109.64
2oZOAxgUXFQeJE8Qj5ybU4,IFCWALL,21.57
1dhc5rsYj0HOHEPVRTnegF,IFCWALL,1438.01
1dhc5rsYj0HOHEPVRTneW0,IFCWALL,6.12
3gwOWmx3v1CALTUKOuFs_b,IFCWALL,211.45
0mlMV$YD96HATmmaM7Gcvh,IFCWALL,141.3
0mlMV$YD96HATmmaM7GcRg,IFCWALL,129.04
1Iz1_Dhe9BcvkCgTWppwhZ,IFCSLAB,44.62
30dzunCuvCRADZXw6x9ooz,IFCWALL,191.58
0gAb5d1A120htF0tVYuw2s,IFCWALL,125.56
2jtQFeVJ1Bz8UWF8lVSB4Z,IFCWALL,606.07
2j9OZGnbLExvPQRPWwI1Vx,IFCWALL,896
3RKbg7mVv5KOhSWj4h$8CP,IFCMEMBER,72.92
3RKbg7mVv5KOhSWj4h$81Z,IFCMEMBER,157.8
3RKbg7mVv5KOhSWj4h$8Px,IFCMEMBER,69.31
2uA1QuTrD56OjKrY65ZN2G,IFCBUILDINGELEMENTPROXY,0.08
2uA1QuTrD56OjKrY65ZN2H,IFCBUILDINGELEMENTPROXY,1.46
2Nacuo19H4IAx5s3kv9Fw$,IFCBUILDINGELEMENTPROXY,0.08
2Nacuo19H4IAx5s3kv9C69,IFCBUILDINGELEMENTPROXY,0.08
2Nacuo19H4IAx5s3kv9C66,IFCBUILDINGELEMENTPROXY,1.46
2Nacuo19H4IAx5s3kv9C0B,IFCBUILDINGELEMENTPROXY,1.69
0fb8ht1cj4oRHWJZerVZBk,IFCMEMBER,37.22
0fb8ht1cj4oRHWJZerVZJU,IFCMEMBER,118.68
2MGIpRi0XEXwECOTNgoznG,IFCMEMBER,350
34lqDYnzHB3wmZslDJwl3r,IFCBUILDINGELEMENTPROXY,400
3IP1NcR8H1yQoZHEVfIrq5,IFCBUILDINGELEMENTPROXY,400
31rKK5OS94d9cPXIYeNUUD,IFCRAILING,620
31rKK5OS94d9cPXIYeNUTq,IFCMEMBER,350
2rxIJoCKz1uRo5QAkJ6W1b,IFCMEMBER,350
34lqDYnzHB3wmZslDJwl7n,IFCBUILDINGELEMENTPROXY,400
34lqDYnzHB3wmZslDJwl4f,IFCBUILDINGELEMENTPROXY,400
2XP4zk_yDEZOLBKKyL82zv,IFCBUILDINGELEMENTPROXY,400
2MGIpRi0XEXwECOTNgozf3,IFCRAILING,620
2LDPNirxb6Uv4e97Wb9aoI,IFCBUILDINGELEMENTPROXY,400
11qQrX$zDAqxSsCbLSxNBz,IFCBUILDINGELEMENTPROXY,400
3AQwX$e_j0ZPcGzWWO1ik3,IFCRAILING,620
34lqDYnzHB3wmZslDJwl0z,IFCBUILDINGELEMENTPROXY,400
1FqThChik_ra2Hy0pO45x1,IFCSTAIR,4200
0yWZ5pCYf0h8ACXcZFmkkl,IFCMEMBER,350
3IP1NcR8H1yQoZHEVfIrrL,IFCBUILDINGELEMENTPROXY,400
31rKK5OS94d9cPXIYeNUU8,IFCMEMBER,350
2LDPNirxb6Uv4e97Wb9aoK,IFCBUILDINGELEMENTPROXY,400
1zaxyAqU13Vwe7hlENZDm2,IFCBUILDINGELEMENTPROXY,400
37O9F6zDH7NuO6lYxEN7kp,IFCBUILDINGELEMENTPROXY,400
0JyMPP2zL4IAnCaufeb8OM,IFCBUILDINGELEMENTPROXY,400
0p_ez7$kb1fQ0sr1Uds03k,IFCMEMBER,350
2gg_QBTV1BLP_pxc_mn7zh,IFCBUILDINGELEMENTPROXY,400
1avhRfmw91wxWQrhU4W2CW,IFCRAILING,620
0O5ZCyMCrCOQ6uiL7qfhzo,IFCRAILING,620
02_CiyN659neOqt2G8OlzW,IFCMEMBER,350
1zaxyAqU13Vwe7hlENZDm6,IFCBUILDINGELEMENTPROXY,400
2I7Auyk8bCgAfwQpXOR$9u,IFCBUILDINGELEMENTPROXY,400
3JySMgFNrCGxX3oAzOKCkr,IFCRAILING,620
0d_HunAzzAPg4$RxtR7pfv,IFCRAILING,620
3LZOmf0A98PeT3v$HqSMrN,IFCMEMBER,350
2rxIJoCKz1uRo5QAkJ6W1c,IFCMEMBER,350
3oWRtKgGH6quoh0HBRWZP1,IFCBUILDINGELEMENTPROXY,400
1dKu5zsdHE_A8Pn$AaqevH,IFCBUILDINGELEMENTPROXY,400
1zaxyAqU13Vwe7hlENZDmD,IFCBUILDINGELEMENTPROXY,400
1YpT8RiCzEtvfm84izHoKF,IFCBUILDINGELEMENTPROXY,400
04njSTSkS9569ZXvWOdGfk,IFCRAILING,620
2wYho76PDA9vn_AFRLvRBi,IFCRAILING,620
0O5ZCyMCrCOQ6uiL7qfhWk,IFCRAILING,620
0gNsikZPrFZe6ltc4u6HlQ,IFCBUILDINGELEMENTPROXY,400
3fIyBYh7fB78nAzlrPVUqY,IFCBUILDINGELEMENTPROXY,400
3IP1NcR8H1yQoZHEVfIro0,IFCBUILDINGELEMENTPROXY,400
22T8RHjlP7sPxAvJUQWvp_,IFCBUILDINGELEMENTPROXY,400
0p_ez7$kb1fQ0sr1Uds03a,IFCRAILING,620
3Z5QcBxyT3ZHxVshbpLvt9,IFCMEMBER,350
11qQrX$zDAqxSsCbLSxMjS,IFCBUILDINGELEMENTPROXY,400
1hbrug3lrBQg4H$5a6sWi9,IFCRAILING,620
3VSyNAMpUiMUHiq4A722NK,IFCRAILING,620
0O5ZCyMCrCOQ6uiL7qfhdl,IFCRAILING,620
0JyMPP2zL4IAnCaufeb8Uf,IFCBUILDINGELEMENTPROXY,400
0gNsikZPrFZe6ltc4u6HlH,IFCBUILDINGELEMENTPROXY,400
1JkTQRyTnFCQL6sCZc4wMN,IFCCOVERING,2645.29
2jRUK7Mkb6Ue8A9OvpTGUo,IFCLIGHTFIXTURE,210
29L_DeI4f1hfP6ODuq8daS,IFCLIGHTFIXTURE,210
1ynIJTp3j41BnCd95bH$Zw,IFCLIGHTFIXTURE,210
2i1ro43jr7TeCTnrJrkiFS,IFCLIGHTFIXTURE,210
2i1ro43jr7TeCTnrJrjJ$C,IFCLIGHTFIXTURE,210
2i1ro43jr7TeCTnrJrjJzw,IFCLIGHTFIXTURE,210
06fTk68cnA6vD9GRSabnq$,IFCLIGHTFIXTURE,210
06fTk68cnA6vD9GRSabnxR,IFCLIGHTFIXTURE,210
2DdOtrZWbFu8xo_NjetJ$u,IFCLIGHTFIXTURE,210
