GlobalId,Name,Level,operational_carbon,energy_intensity,category
1hOSvn6df7F8_7GcBWlS9F,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257,Level 1,146.1,43.7,Other
1hOSvn6df7F8_7GcBWlSFK,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378,Level 2,53.9,45.8,Other
1hOSvn6df7F8_7GcBWlSDm,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478,Level 2,85.1,21.2,Other
2OBrcmyk58NupXoVOHUuXp,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734,Level 2,41.9,27.9,Other
2OBrcmyk58NupXoVOHUvVV,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,Level 2,125.2,24.7,Other
2OBrcmyk58NupXoVOHUvR4,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,Level 2,87.4,37.3,Other
2OBrcmyk58NupXoVOHUvPL,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,Level 2,109.6,36.5,Other
1s1jVhK8z0pgKYcr9jt781,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,Level 1,105.1,37.4,Other
1s1jVhK8z0pgKYcr9jt7AB,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975,Level 1,131.7,33.6,Other
1aj$VJZFn2TxepZUBcKp$i,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720,Level 2,117.3,28.5,Other
1aj$VJZFn2TxepZUBcKpac,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034,Level 2,61.8,41.0,Other
0kF45Qs8L9PAM9kmb1lT5d,Wall Foundation:Bearing Footing - 900 x 300:186596,T/FDN,314.2,45.0,Wall
0kF45Qs8L9PAM9kmb1lT5l,Wall Foundation:Bearing Footing - 900 x 300:186604,T/FDN,322.0,55.1,Wall
0kF45Qs8L9PAM9kmb1lT5t,Wall Foundation:Bearing Footing - 900 x 300:186612,T/FDN,330.8,65.1,Wall
0kF45Qs8L9PAM9kmb1lT5$,Wall Foundation:Bearing Footing - 900 x 300:186620,T/FDN,250.8,57.3,Wall
0kF45Qs8L9PAM9kmb1lT2B,Wall Foundation:Bearing Footing - 900 x 300:186632,T/FDN,277.5,62.6,Wall
0kF45Qs8L9PAM9kmb1lT2N,Wall Foundation:Bearing Footing - 900 x 300:186644,T/FDN,289.7,54.7,Wall
0kF45Qs8L9PAM9kmb1lT2Z,Wall Foundation:Bearing Footing - 900 x 300:186656,T/FDN,301.9,46.8,Wall
1gtrSK5QnDuxDwygd0EDGO,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,Level 1,96.5,45.3,Stair
34qUFGjJzFKwVWpXe2dTPt,Stair:Residential - 200mm Max Riser 250mm Tread:151086:2,Level 1,174.2,40.1,Stair
01KzA4SPn5IOODwLEb5RNY,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,Level 1,164.0,38.0,Stair
37Fy90kSD2PvviizyM7EKl,Stair:Residential - 200mm Max Riser 250mm Tread:198878:2,Level 1,125.3,35.6,Stair
0wkEuT1wr1kOyafLY4v_PL,Railing:900mm Handrail Only:151162,Level 1,49.7,22.6,Railing
0wkEuT1wr1kOyafLY4v_PH,Railing:1100mm Guard Rail:151166,Level 1,45.3,9.6,Railing
21ldoMpbP4VfsJ0XGY_34P,Railing:900mm Handrail Only:198880,Level 1,23.8,14.8,Railing
21ldoMpbP4VfsJ0XGY_335,Railing:1100mm Guard Rail:198972,Level 1,46.0,13.6,Railing
0jf0rYHfX3RAB3bSIRjmxl,Basic Roof:Live Roof over Wood Joist Flat Roof:184483,Roof,251.3,73.6,Roof
2O2Fr$t4X7Zf8NOew3FK4F,Floor:127mm Slab on Grade:141232,Level 1,204.3,65.5,Floor
2O2Fr$t4X7Zf8NOew3FKcz,Floor:127mm Slab on Grade:143106,Level 1,303.2,68.5,Floor
1hOSvn6df7F8_7GcBWlRqU,Floor:Residential - Wood Joist with Subflooring:144800,Level 2,211.1,47.4,Floor
1hOSvn6df7F8_7GcBWlRrM,Floor:Residential - Wood Joist with Subflooring:144872,Level 2,204.4,44.3,Floor
2OBrcmyk58NupXoVOHUtC0,Floor:Finish Floor - Wood:169093,Level 2,283.3,45.1,Floor
2OBrcmyk58NupXoVOHUtDX,Floor:Finish Floor - Wood:169188,Level 2,324.4,56.5,Floor
2OBrcmyk58NupXoVOHUtBP,Floor:Finish Floor - Wood:169308,Level 2,314.4,78.4,Floor
2OBrcmyk58NupXoVOHUt8F,Floor:Finish Floor - Wood:169354,Level 2,294.4,76.2,Floor
2OBrcmyk58NupXoVOHUt8s,Floor:Finish Floor - Wood:169395,Level 2,339.9,69.6,Floor
2OBrcmyk58NupXoVOHUt5W,Floor:Finish Floor - Wood:169701,Level 2,308.8,82.3,Floor
2OBrcmyk58NupXoVOHUt2f,Floor:Finish Floor - Ceramic Tile:169772,Level 2,320.0,74.5,Floor
2OBrcmyk58NupXoVOHUt0F,Floor:Finish Floor - Ceramic Tile:169866,Level 2,286.6,66.1,Floor
2OBrcmyk58NupXoVOHUtxr,Floor:Finish Floor - Wood:170352,Level 1,221.2,50.3,Floor
2OBrcmyk58NupXoVOHUtoa,Floor:Finish Floor - Ceramic Tile:170785,Level 1,195.6,52.0,Floor
2OBrcmyk58NupXoVOHUtjR,Floor:Finish Floor - Ceramic Tile:171230,Level 1,356.6,50.8,Floor
2OBrcmyk58NupXoVOHUtju,Floor:Finish Floor - Ceramic Tile:171261,Level 1,210.1,65.2,Floor
2OBrcmyk58NupXoVOHUtgP,Floor:Finish Floor - Wood:171292,Level 1,351.1,61.8,Floor
2OBrcmyk58NupXoVOHUten,Floor:Finish Floor - Ceramic Tile:171444,Level 1,198.9,73.0,Floor
3ThA22djr8AQQ9eQMA5s7I,Basic Roof:Live Roof over Wood Joist Flat Roof:184483,Roof,223.4,62.8,Roof
1CZILmCaHETO8tf3SgGEWh,Floor:150mm Exterior Slab on Grade:216507,Level 1,325.4,84.7,Floor
1CZILmCaHETO8tf3SgGEXu,Floor:150mm Exterior Slab on Grade:216552,Level 1,339.8,44.8,Floor
0wkEuT1wr1kOyafLY4v_O1,Stair:Residential - 200mm Max Riser 250mm Tread:151086,Level 1,100.9,21.3,Stair
21ldoMpbP4VfsJ0XGY_34d,Stair:Residential - 200mm Max Riser 250mm Tread:198878,Level 1,171.8,40.0,Stair
1oKjKg9PD3fP1iIwXLh3lK,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,Level 1,168.5,45.0,Stair
3KMJUyUe9DfQ2FOCd5ZoiN,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,Level 1,143.0,26.8,Stair
2O2Fr$t4X7Zf8NOew3FKau,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:143239,Level 2,357.5,70.4,Wall
2O2Fr$t4X7Zf8NOew3FNld,Basic Wall:Interior - Partition (92mm Stud):138584,Level 1,354.2,49.4,Wall
2O2Fr$t4X7Zf8NOew3FNbT,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139234,Level 1,328.6,51.1,Wall
2O2Fr$t4X7Zf8NOew3FKRi,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139347,Level 1,330.8,65.1,Wall
2O2Fr$t4X7Zf8NOew3FKRH,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:139374,Level 1,297.5,64.8,Wall
2O2Fr$t4X7Zf8NOew3FKIu,Basic Wall:Interior - Partition (92mm Stud):139783,Level 1,333.1,86.2,Wall
2O2Fr$t4X7Zf8NOew3FKGS,Basic Wall:Interior - Partition (92mm Stud):139939,Level 1,297.5,64.8,Wall
2O2Fr$t4X7Zf8NOew3FK80,Basic Wall:Foundation - Concrete (417mm):140479,T/FDN,247.5,82.3,Wall
2O2Fr$t4X7Zf8NOew3FK9N,Basic Wall:Foundation - Concrete (417mm):140520,T/FDN,278.6,69.6,Wall
2O2Fr$t4X7Zf8NOew3FKEr,Basic Wall:Foundation - Concrete (417mm):140554,T/FDN,326.4,83.1,Wall
2O2Fr$t4X7Zf8NOew3FKE5,Basic Wall:Foundation - Concrete (417mm):140602,T/FDN,265.3,70.5,Wall
2O2Fr$t4X7Zf8NOew3FK3E,Basic Wall:Foundation - Concrete (435mm):140913,T/FDN,263.1,56.5,Wall
2O2Fr$t4X7Zf8NOew3FK04,Basic Wall:Foundation - Concrete (435mm):140987,T/FDN,243.1,54.3,Wall
2O2Fr$t4X7Zf8NOew3FK1b,Basic Wall:Foundation - Concrete (435mm):141018,T/FDN,290.8,61.7,Wall
2O2Fr$t4X7Zf8NOew3FLMr,Basic Wall:Interior - Plumbing (152mm Stud):144138,Level 2,335.3,54.2,Wall
2O2Fr$t4X7Zf8NOew3FLKI,Basic Wall:Interior - Partition (92mm Stud):144301,Level 2,292.0,75.8,Wall
2O2Fr$t4X7Zf8NOew3FLEJ,Basic Wall:Interior - Partition (92mm Stud):144684,Level 2,287.5,86.7,Wall
2O2Fr$t4X7Zf8NOew3FLCm,Basic Wall:Interior - Plumbing (152mm Stud):144783,Level 2,320.8,87.0,Wall
2O2Fr$t4X7Zf8NOew3FNqI,Basic Wall:Exterior - Brick on Block:138157,Level 1,332.0,79.2,Wall
2O2Fr$t4X7Zf8NOew3FNhv,Basic Wall:Exterior - Brick on Block:138310,Level 1,368.6,55.5,Wall
2O2Fr$t4X7Zf8NOew3FLQD,Basic Wall:Exterior - Brick on Block:143410,Level 2,293.1,82.8,Wall
2O2Fr$t4X7Zf8NOew3FLOH,Basic Wall:Exterior - Brick on Block:143534,Level 2,295.3,50.8,Wall
2O2Fr$t4X7Zf8NOew3FKST,Basic Wall:Interior - Partition (92mm Stud):139682,Level 1,310.8,63.9,Wall
2O2Fr$t4X7Zf8NOew3FNau,Basic Wall:Interior - Partition (92mm Stud):139143,Level 1,360.8,45.4,Wall
2O2Fr$t4X7Zf8NOew3FLTF,Basic Wall:Interior - Partition (92mm Stud):143856,Level 1,298.6,71.8,Wall
2O2Fr$t4X7Zf8NOew3FL8v,Basic Wall:Interior - Partition (92mm Stud):144518,Level 1,318.6,73.0,Wall
2O2Fr$t4X7Zf8NOew3FLJd,Basic Wall:Interior - Partition (92mm Stud):143960,Level 2,318.6,73.0,Wall
2O2Fr$t4X7Zf8NOew3FL96,Basic Wall:Interior - Partition (92mm Stud):144633,Level 2,255.3,46.4,Wall
2O2Fr$t4X7Zf8NOew3FLIE,Basic Wall:Interior - Partition (92mm Stud):143921,Level 2,286.4,79.7,Wall
2O2Fr$t4X7Zf8NOew3FL9r,Basic Wall:Interior - Partition (92mm Stud):144586,Level 2,315.3,52.0,Wall
2O2Fr$t4X7Zf8NOew3FNtn,Basic Wall:Exterior - Brick on Block:138062,Level 1,372.0,83.6,Wall
2O2Fr$t4X7Zf8NOew3FNr2,Basic Wall:Exterior - Brick on Block:138237,Level 1,310.8,63.9,Wall
2O2Fr$t4X7Zf8NOew3FLR9,Basic Wall:Exterior - Brick on Block:143478,Level 2,283.1,58.7,Wall
2O2Fr$t4X7Zf8NOew3FLPP,Basic Wall:Exterior - Brick on Block:143590,Level 2,304.2,67.9,Wall
0jf0rYHfX3RAB3bSIRjmmy,Basic Wall:Exterior - Brick on Block:184944,Roof,276.5,82.6,Wall
0jf0rYHfX3RAB3bSIRjmpw,Basic Wall:Exterior - Brick on Block:185014,Roof,277.6,89.6,Wall
0jf0rYHfX3RAB3bSIRjmoa,Basic Wall:Exterior - Brick on Block:185064,Roof,254.3,66.4,Wall
0jf0rYHfX3RAB3bSIRjmr1,Basic Wall:Exterior - Brick on Block:185101,Roof,410.8,73.9,Wall
0iEHWY1$XA8eQeeULq4jZ1,Basic Wall:Interior - Furring (152 mm Stud):189074,Level 1,331.9,72.1,Wall
0iEHWY1$XA8eQeeULq4j_U,Basic Wall:Interior - Furring (152 mm Stud):189901,Level 1,372.0,83.6,Wall
0iEHWY1$XA8eQeeULq4jpl,Basic Wall:Interior - Partition (92mm Stud):190140,Level 1,412.0,87.0,Wall
0iEHWY1$XA8eQeeULq4jDb,Basic Wall:Interior - Furring (152 mm Stud):190774,Level 1,358.6,77.4,Wall
0iEHWY1$XA8eQeeULq4jE6,Basic Wall:Interior - Furring (152 mm Stud):190933,Level 1,315.3,52.0,Wall
0dxE1Sy6nDqfpDb5vIMNiA,Basic Wall:Interior - Furring (152 mm Stud):193247,Level 2,295.4,77.8,Wall
0dxE1Sy6nDqfpDb5vIMN_Z,Basic Wall:Interior - Furring (152 mm Stud):194166,Level 2,310.9,90.9,Wall
1aj$VJZFn2TxepZUBcKpvt,Basic Wall:Interior - Partition (92mm Stud):203347,Level 2,357.6,51.4,Wall
1aj$VJZFn2TxepZUBcKpZw,Basic Wall:Interior - Partition (92mm Stud):203998,Level 2,332.1,60.2,Wall
1aj$VJZFn2TxepZUBcKpee,Basic Wall:Interior - Partition (92mm Stud):204300,Level 1,325.4,57.1,Wall
1aj$VJZFn2TxepZUBcKphf,Basic Wall:Interior - Partition (92mm Stud):204493,Level 1,329.8,85.1,Wall
3Y4YRln2r91vflHcHE5IVS,Basic Wall:Interior - Furring (38 mm Stud):217414,Level 2,398.6,81.8,Wall
3Y4YRln2r91vflHcHE5IVT,Basic Wall:Interior - Furring (38 mm Stud):217415,Level 2,399.7,88.8,Wall
3Y4YRln2r91vflHcHE5IVI,Basic Wall:Interior - Furring (38 mm Stud):217416,Level 2,388.6,57.7,Wall
3Y4YRln2r91vflHcHE5IVJ,Basic Wall:Interior - Furring (38 mm Stud):217417,Level 2,389.7,64.7,Wall
3Y4YRln2r91vflHcHE5ITp,Basic Wall:Interior - Furring (38 mm Stud):217577,Level 2,224.3,86.1,Wall
3Y4YRln2r91vflHcHE5ITm,Basic Wall:Interior - Furring (38 mm Stud):217578,Level 2,221.0,65.1,Wall
3Y4YRln2r91vflHcHE5ITn,Basic Wall:Interior - Furring (38 mm Stud):217579,Level 2,222.1,72.1,Wall
3Y4YRln2r91vflHcHE5ITs,Basic Wall:Interior - Furring (38 mm Stud):217580,Level 2,227.6,61.1,Wall
1hOSvn6df7F8_7GcBWlR72,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788,Level 1,15.8,26.4,Window
1hOSvn6df7F8_7GcBWlRBU,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016,Level 1,15.4,10.9,Window
1hOSvn6df7F8_7GcBWlRLx,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885,Level 1,60.9,13.3,Window
1hOSvn6df7F8_7GcBWlRRL,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051,Level 1,22.1,33.0,Window
1hOSvn6df7F8_7GcBWlSXO,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686,Level 2,32.1,25.1,Window
1hOSvn6df7F8_7GcBWlSga,M_Fixed:819mm x 759mm:819mm x 759mm:147994,Level 2,19.4,22.4,Window
1hOSvn6df7F8_7GcBWlSp1,M_Casement:819mm x 759mm:819mm x 759mm:148607,Level 2,26.5,35.0,Window
1hOSvn6df7F8_7GcBWlSnC,M_Fixed:819mm x 759mm:819mm x 759mm:148722,Level 2,42.1,17.2,Window
1hOSvn6df7F8_7GcBWlS_W,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278,Level 2,47.6,26.2,Window
1hOSvn6df7F8_7GcBWlS2V,M_Fixed:819mm x 759mm:819mm x 759mm:149537,Level 2,47.0,16.8,Window
1hOSvn6df7F8_7GcBWlS1M,M_Casement:819mm x 759mm:819mm x 759mm:149736,Level 2,37.0,24.7,Window
1hOSvn6df7F8_7GcBWlS4Q,M_Fixed:819mm x 759mm:819mm x 759mm:149924,Level 2,44.7,21.7,Window
1l0GAJtRTFv8$zmKJOH4$e,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318,Level 2,56.7,33.9,Window
1l0GAJtRTFv8$zmKJOH4u1,M_Fixed:819mm x 759mm:819mm x 759mm:180663,Level 2,39.6,28.2,Window
1l0GAJtRTFv8$zmKJOH4qs,M_Fixed:819mm x 759mm:819mm x 759mm:180864,Level 2,55.8,20.8,Window
1l0GAJtRTFv8$zmKJOH4oq,M_Casement:819mm x 759mm:819mm x 759mm:180994,Level 2,51.4,18.8,Window
1l0GAJtRTFv8$zmKJOH4pU,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096,Level 2,24.7,11.5,Window
1l0GAJtRTFv8$zmKJOH4kJ,M_Fixed:819mm x 759mm:819mm x 759mm:181285,Level 2,54.1,29.4,Window
1l0GAJtRTFv8$zmKJOH4gQ,M_Casement:819mm x 759mm:819mm x 759mm:181548,Level 2,57.4,24.4,Window
1l0GAJtRTFv8$zmKJOH4hv,M_Fixed:819mm x 759mm:819mm x 759mm:181583,Level 2,49.2,30.8,Window
1l0GAJtRTFv8$zmKJOH4aS,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930,Level 2,53.0,22.4,Window
1l0GAJtRTFv8$zmKJOH4ZZ,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101,Level 2,53.0,22.4,Window
1Eo2$BaHX42AEkDvQQDocD,M_Skylight:1180 x 1170mm:1180 x 1170mm:185337,Roof,34.5,35.7,Window
1Eo2$BaHX42AEkDvQQDoy2,M_Skylight:1180 x 1170mm:1180 x 1170mm:185718,Roof,38.9,11.7,Window
1xS3BCk291UvhgP2dvNrrP,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788:1,Level 1,18.3,15.4,Window
1xS3BCk291UvhgP2dvNrv5,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016:1,Level 1,41.0,10.2,Window
1xS3BCk291UvhgP2dvNrY1,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596:1,Level 1,51.7,31.8,Other
1xS3BCk291UvhgP2dvNrZJ,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678:1,Level 1,77.3,27.1,Other
1xS3BCk291UvhgP2dvNrdW,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885:1,Level 1,57.6,18.3,Window
1xS3BCk291UvhgP2dvNrfE,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051:1,Level 1,41.0,10.2,Window
1xS3BCk291UvhgP2dvNoJ3,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686:1,Level 2,38.1,31.7,Window
1xS3BCk291UvhgP2dvNoO$,M_Fixed:819mm x 759mm:819mm x 759mm:147994:1,Level 2,28.1,13.6,Window
1xS3BCk291UvhgP2dvNo1Q,M_Casement:819mm x 759mm:819mm x 759mm:148607:1,Level 2,43.6,14.7,Window
1xS3BCk291UvhgP2dvNo3N,M_Fixed:819mm x 759mm:819mm x 759mm:148722:1,Level 2,42.5,33.7,Window
1xS3BCk291UvhgP2dvNoCx,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278:1,Level 2,54.3,23.3,Window
1xS3BCk291UvhgP2dvNom4,M_Fixed:819mm x 759mm:819mm x 759mm:149537:1,Level 2,28.7,23.0,Window
1xS3BCk291UvhgP2dvNopD,M_Casement:819mm x 759mm:819mm x 759mm:149736:1,Level 2,47.6,26.2,Window
1xS3BCk291UvhgP2dvNos1,M_Fixed:819mm x 759mm:819mm x 759mm:149924:1,Level 2,31.0,18.1,Window
1xS3BCk291UvhgP2dvNowu,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173:1,Level 1,146.2,45.8,Other
1xS3BCk291UvhgP2dvNoxK,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257:1,Level 1,105.1,37.4,Other
1xS3BCk291UvhgP2dvNozF,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378:1,Level 1,102.8,16.3,Other
1xS3BCk291UvhgP2dvNo$h,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478:1,Level 1,50.6,24.8,Other
1JMZUwOon6WAV1rBBORAVn,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200:1,B202,15.3,18.0,Door
0st2Ty2kP2i9GWVYN22HBn,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607:1,B202,16.2,7.4,Door
1ur9wqEhD1fgF0XSBVdztK,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950:1,A203,37.8,7.1,Door
2fQjX2SrTFrxFKC2cOmyZz,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951:1,A203,32.4,13.4,Door
3yrt06HiHCHQOnRKTWhuME,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983:1,A202,38.7,12.5,Door
1dqkh_grrAr8eEicMrPggp,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984:1,A202,30.7,12.9,Door
24EFH82h1DgeJVWlc35MMP,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080:1,B203,34.6,17.3,Door
2YwZmYlr9AiPDZRZmucxc5,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081:1,B203,28.2,19.0,Door
1xS3BCk291UvhgP2dvNmlJ,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734:1,Level 2,90.6,25.2,Other
1xS3BCk291UvhgP2dvNnH$,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834:1,Level 2,128.3,41.5,Other
1xS3BCk291UvhgP2dvNnLa,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065:1,Level 2,82.8,31.1,Other
1xS3BCk291UvhgP2dvNnNr,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208:1,Level 2,101.7,40.3,Other
1_czKmicP9SRkaew1L5q7Z,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165:1,B103,68.5,28.1,Other
3obae0iBn5i9Cv4Ub3eEXf,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490:1,A103,97.3,43.3,Other
1xS3BCk291UvhgP2dvN$je,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853:1,Level 1,42.8,30.7,Other
1xS3BCk291UvhgP2dvN$lY,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975:1,Level 1,143.8,22.6,Other
1xS3BCk291UvhgP2dvNwHx,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318:1,Level 2,21.6,10.4,Window
1xS3BCk291UvhgP2dvNwMI,M_Fixed:819mm x 759mm:819mm x 759mm:180663:1,Level 2,25.4,28.0,Window
1xS3BCk291UvhgP2dvNwQb,M_Fixed:819mm x 759mm:819mm x 759mm:180864:1,Level 2,54.3,23.3,Window
1xS3BCk291UvhgP2dvNwSd,M_Casement:819mm x 759mm:819mm x 759mm:180994:1,Level 2,58.7,25.3,Window
1xS3BCk291UvhgP2dvNwTD,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096:1,Level 2,27.6,16.0,Window
1xS3BCk291UvhgP2dvNw00,M_Fixed:819mm x 759mm:819mm x 759mm:181285:1,Level 2,17.0,14.5,Window
1xS3BCk291UvhgP2dvNw49,M_Casement:819mm x 759mm:819mm x 759mm:181548:1,Level 2,30.3,27.6,Window
1xS3BCk291UvhgP2dvNw5g,M_Fixed:819mm x 759mm:819mm x 759mm:181583:1,Level 2,31.0,18.1,Window
1xS3BCk291UvhgP2dvNwAF,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930:1,Level 2,56.9,27.8,Window
1xS3BCk291UvhgP2dvNwDm,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101:1,Level 2,52.1,35.3,Window
3v9a8BKHj2mvcndWrD6JMo,Basic Roof:Live Roof over Wood Joist Flat Roof:184483:2,Roof,257.9,69.6,Roof
0c3kWfbRLERxKStRVifSpJ,Basic Roof:Live Roof over Wood Joist Flat Roof:184483:3,Roof,327.9,53.3,Roof
1xS3BCk291UvhgP2dvNxVS,,Roof,88.4,42.2,Other
1xS3BCk291UvhgP2dvNx5J,,Roof,46.2,27.8,Other
1xS3BCk291UvhgP2dvNd$j,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720:1,Level 2,41.7,23.7,Other
1xS3BCk291UvhgP2dvNdad,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034:1,Level 2,96.2,36.3,Other
0wkEuT1wr1kOyafLY4vyu$,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200,B202,16.0,15.9,Door
0wkEuT1wr1kOyafLY4vy_8,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607,B202,14.8,17.8,Door
0wkEuT1wr1kOyafLY4vy3H,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950,A203,17.0,13.6,Door
0wkEuT1wr1kOyafLY4vy3G,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951,A203,16.9,6.5,Door
0wkEuT1wr1kOyafLY4vy4m,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983,A202,24.8,7.9,Door
