GlobalId,EntityId,IfcType,Name,Storey,StoreyEntityId,Category,EmbodiedCarbon_A1A3_kgCO2e,EmbodiedCarbon_A1A5_kgCO2e,OperationalCarbon_kgCO2e_per_year,EnergyUseIntensity_kWh_per_m2_year,ScenarioName,AnalysisRunId
2O2Fr$t4X7Zf8NOew3FKIu,4553,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):139783,Level 1,39,Wall,1042.6,1167.7,333.1,86.2,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKGS,4598,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):139939,Level 1,39,Wall,842.1,943.2,297.5,64.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK80,4643,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (417mm):140479,T/FDN,47,Wall,850.5,952.6,247.5,82.3,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK9N,4818,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (417mm):140520,T/FDN,47,Wall,1029.6,1153.2,278.6,69.6,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKEr,4868,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (417mm):140554,T/FDN,47,Wall,844.6,946.0,326.4,83.1,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKE5,4918,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (417mm):140602,T/FDN,47,Wall,576.8,646.0,265.3,70.5,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK3E,4968,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (435mm):140913,T/FDN,47,Wall,654.4,732.9,263.1,56.5,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK04,5057,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (435mm):140987,T/FDN,47,Wall,618.2,692.4,243.1,54.3,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK1b,5106,IFCWALLSTANDARDCASE,Basic Wall:Foundation - Concrete (435mm):141018,T/FDN,47,Wall,624.4,699.3,290.8,61.7,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FK4F,5165,IFCSLAB,Floor:127mm Slab on Grade:141232,Level 1,39,Floor,2933.1,3285.1,204.3,65.5,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKcz,5267,IFCSLAB,Floor:127mm Slab on Grade:143106,Level 1,39,Floor,2182.5,2444.4,303.2,68.5,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FKau,5399,IFCWALL,Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:143239,Level 2,43,Wall,999.6,1119.6,357.5,70.4,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLQD,5448,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:143410,Level 2,43,Wall,642.9,720.0,293.1,82.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLR9,5498,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:143478,Level 2,43,Wall,706.6,791.4,283.1,58.7,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLOH,5548,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:143534,Level 2,43,Wall,700.1,784.1,295.3,50.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLPP,5598,IFCWALLSTANDARDCASE,Basic Wall:Exterior - Brick on Block:143590,Level 2,43,Wall,996.8,1116.4,304.2,67.9,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLTF,5642,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):143856,Level 1,39,Wall,803.7,900.1,298.6,71.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLIE,5687,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):143921,Level 2,43,Wall,951.9,1066.1,286.4,79.7,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLJd,5731,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):143960,Level 2,43,Wall,660.2,739.4,318.6,73.0,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLMr,5775,IFCWALLSTANDARDCASE,Basic Wall:Interior - Plumbing (152mm Stud):144138,Level 2,43,Wall,624.7,699.7,335.3,54.2,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLKI,5859,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):144301,Level 2,43,Wall,678.1,759.5,292.0,75.8,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FL8v,5903,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):144518,Level 1,39,Wall,827.4,926.7,318.6,73.0,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FL9r,5948,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):144586,Level 2,43,Wall,785.7,880.0,315.3,52.0,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FL96,5992,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):144633,Level 2,43,Wall,844.6,946.0,255.3,46.4,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLEJ,6036,IFCWALLSTANDARDCASE,Basic Wall:Interior - Partition (92mm Stud):144684,Level 2,43,Wall,915.6,1025.5,287.5,86.7,Baseline,run-2026-09-17-01
2O2Fr$t4X7Zf8NOew3FLCm,6080,IFCWALLSTANDARDCASE,Basic Wall:Interior - Plumbing (152mm Stud):144783,Level 2,43,Wall,832.6,932.5,320.8,87.0,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRqU,6132,IFCSLAB,Floor:Residential - Wood Joist with Subflooring:144800,Level 2,43,Floor,2277.2,2550.5,211.1,47.4,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRrM,6247,IFCSLAB,Floor:Residential - Wood Joist with Subflooring:144872,Level 2,43,Floor,3003.1,3363.5,204.4,44.3,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlR72,6426,IFCWINDOW,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788,Level 1,39,Window,199.6,223.6,15.8,26.4,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRBU,6531,IFCWINDOW,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016,Level 1,39,Window,190.7,213.6,15.4,10.9,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRGQ,6652,IFCDOOR,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596,Level 1,39,Other,110.6,123.9,59.5,25.9,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRH8,6757,IFCDOOR,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678,Level 1,39,Other,91.6,102.6,146.1,43.7,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRLx,6921,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885,Level 1,39,Window,179.6,201.2,60.9,13.3,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlRRL,7025,IFCWINDOW,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051,Level 1,39,Window,169.0,189.3,22.1,33.0,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSXO,7190,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686,Level 2,43,Window,143.3,160.5,32.1,25.1,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSga,7407,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:147994,Level 2,43,Window,123.8,138.7,19.4,22.4,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSp1,7639,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:148607,Level 2,43,Window,162.6,182.1,26.5,35.0,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSnC,7743,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:148722,Level 2,43,Window,128.1,143.5,42.1,17.2,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS_W,7795,IFCWINDOW,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278,Level 2,43,Window,145.6,163.1,47.6,26.2,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS2V,7847,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:149537,Level 2,43,Window,154.8,173.4,47.0,16.8,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS1M,7899,IFCWINDOW,M_Casement:819mm x 759mm:819mm x 759mm:149736,Level 2,43,Window,144.7,162.1,37.0,24.7,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS4Q,7951,IFCWINDOW,M_Fixed:819mm x 759mm:819mm x 759mm:149924,Level 2,43,Window,161.7,181.1,44.7,21.7,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS8Z,8066,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173,Level 1,39,Other,88.7,99.3,54.0,21.9,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlS9F,8169,IFCDOOR,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257,Level 1,39,Other,104.7,117.3,146.1,43.7,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSFK,8283,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378,Level 2,43,Other,109.3,122.4,53.9,45.8,Baseline,run-2026-09-17-01
1hOSvn6df7F8_7GcBWlSDm,8386,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478,Level 2,43,Other,94.1,105.4,85.1,21.2,Baseline,run-2026-09-17-01
1oKjKg9PD3fP1iIwXLh3lK,8970,IFCSTAIRFLIGHT,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,Level 1,39,Stair,243.6,272.8,168.5,45.0,Baseline,run-2026-09-17-01
1gtrSK5QnDuxDwygd0EDGO,9002,IFCMEMBER,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,Level 1,39,Stair,130.1,145.7,96.5,45.3,Baseline,run-2026-09-17-01
34qUFGjJzFKwVWpXe2dTPt,9020,IFCMEMBER,Stair:Residential - 200mm Max Riser 250mm Tread:151086:2,Level 1,39,Stair,97.8,109.5,174.2,40.1,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4v_O1,9021,IFCSTAIR,Stair:Residential - 200mm Max Riser 250mm Tread:151086,Level 1,39,Stair,778.3,871.7,100.9,21.3,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4v_PL,9326,IFCRAILING,Railing:900mm Handrail Only:151162,Level 1,39,Railing,68.4,76.6,49.7,22.6,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4v_PH,12184,IFCRAILING,Railing:1100mm Guard Rail:151166,Level 1,39,Railing,59.2,66.3,45.3,9.6,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vyu$,12574,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200,Level 2,43,Door,42.7,47.8,16.0,15.9,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy_8,12976,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607,Level 2,43,Door,39.9,44.7,14.8,17.8,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy3H,13331,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950,Level 2,43,Door,56.4,63.2,17.0,13.6,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy3G,13685,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951,Level 2,43,Door,32.9,36.8,16.9,6.5,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy4m,14040,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983,Level 2,43,Door,43.9,49.2,24.8,7.9,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy4F,14394,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984,Level 2,43,Door,52.6,58.9,16.9,6.5,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy6l,14749,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080,Level 2,43,Door,42.2,47.3,25.9,14.9,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vy6k,15103,IFCFURNISHINGELEMENT,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081,Level 2,43,Door,43.3,48.5,24.8,7.9,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vyMO,15463,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159159,Level 1,39,Door,32.3,36.2,19.3,20.9,Baseline,run-2026-09-17-01
0wkEuT1wr1kOyafLY4vyOn,15856,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159262,Level 1,39,Door,47.8,53.5,21.6,11.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUuXp,15962,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734,Level 2,43,Other,75.4,84.4,41.9,27.9,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvVV,16013,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834,Level 2,43,Other,98.3,110.1,125.2,24.7,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvR4,16064,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065,Level 2,43,Other,117.5,131.6,87.4,37.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvPL,16115,IFCDOOR,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208,Level 2,43,Other,85.9,96.2,109.6,36.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvGQ,16149,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160671,Level 1,39,Door,35.6,39.9,40.2,5.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvH8,16175,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160717,Level 1,39,Door,43.7,48.9,16.8,13.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUv88,16261,IFCFURNISHINGELEMENT,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,Level 1,39,Other,49.9,55.9,65.2,38.1,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUv3h,16411,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:161646,Level 1,39,Other,46.9,52.5,108.5,29.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvup,16485,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162230,Level 1,39,Door,56.9,63.7,24.9,16.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvuo,16531,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162231,Level 1,39,Other,43.1,48.3,70.8,44.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvs2,16563,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162311,Level 1,39,Door,31.8,35.6,22.5,16.6,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvsm,16589,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162357,Level 1,39,Door,36.4,40.8,19.4,13.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvtA,16615,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162383,Level 1,39,Door,50.7,56.8,38.1,16.8,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqp,16641,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162486,Level 1,39,Door,36.8,41.2,20.5,20.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqo,16667,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162487,Level 1,39,Door,45.9,51.4,19.4,13.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqz,16693,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162488,Level 1,39,Door,32.6,36.5,30.5,10.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqy,16719,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162489,Level 1,39,Door,32.3,36.2,29.4,19.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvq$,16802,IFCFURNISHINGELEMENT,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,Level 1,39,Other,41.5,46.5,102.9,18.4,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvq_,16884,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162491,Level 1,39,Other,38.7,43.3,50.8,28.0,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqu,16914,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162493,Level 1,39,Door,35.4,39.6,25.0,7.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqx,16940,IFCFURNISHINGELEMENT,M_Counter Top:600mm Depth:600mm Depth:162494,Level 1,39,Other,45.6,51.1,75.3,17.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvqw,16971,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162495,Level 1,39,Door,51.9,58.1,27.2,5.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvr5,16997,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162496,Level 1,39,Door,40.3,45.1,24.7,14.6,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUvr4,17023,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162497,Level 1,39,Door,49.4,55.3,23.6,7.6,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUshs,17341,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:167283,Level 1,39,Other,35.6,39.9,58.6,22.1,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUsc7,17409,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:167426,Level 1,39,Other,35.2,39.4,104.1,32.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUsab,17532,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167584,Level 1,39,Other,47.1,52.8,145.2,40.9,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUsbY,17602,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167655,Level 1,39,Other,46.4,52.0,137.4,15.8,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtVQ,17716,IFCFURNISHINGELEMENT,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168031,Level 1,39,Other,31.5,35.3,118.5,37.6,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtOy,17786,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:168377,Level 1,39,Other,43.4,48.6,40.8,20.9,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtO$,17815,IFCFURNISHINGELEMENT,M_Sofa:1830mm:1830mm:168378,Level 1,39,Other,58.3,65.3,66.3,45.1,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtO_,17844,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168379,Level 1,39,Other,51.9,58.1,125.2,24.7,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtOv,17873,IFCFURNISHINGELEMENT,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168380,Level 1,39,Other,41.4,46.4,148.5,30.9,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtOu,17902,IFCFURNISHINGELEMENT,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168381,Level 1,39,Other,47.0,52.6,147.4,23.9,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtM4,19275,IFCFURNISHINGELEMENT,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:168449,Level 2,43,Other,48.1,53.9,80.7,19.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtI8,20657,IFCFURNISHINGELEMENT,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168717,Level 2,43,Other,39.5,44.2,80.7,19.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtHN,20726,IFCFURNISHINGELEMENT,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168914,Level 2,43,Other,35.9,40.2,101.8,42.4,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtEr,20755,IFCFURNISHINGELEMENT,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:169008,Level 2,43,Other,54.3,60.8,134.1,25.8,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtC0,20792,IFCSLAB,Floor:Finish Floor - Wood:169093,Level 2,43,Floor,2563.3,2870.9,283.3,45.1,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtDX,20903,IFCSLAB,Floor:Finish Floor - Wood:169188,Level 2,43,Floor,2143.3,2400.5,324.4,56.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtBP,20958,IFCSLAB,Floor:Finish Floor - Wood:169308,Level 2,43,Floor,1896.2,2123.7,314.4,78.4,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUt8F,21013,IFCSLAB,Floor:Finish Floor - Wood:169354,Level 2,43,Floor,1748.3,1958.1,294.4,76.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUt8s,21080,IFCSLAB,Floor:Finish Floor - Wood:169395,Level 2,43,Floor,2202.9,2467.2,339.9,69.6,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUt5W,21147,IFCSLAB,Floor:Finish Floor - Wood:169701,Level 2,43,Floor,1973.6,2210.4,308.8,82.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUt2f,21195,IFCSLAB,Floor:Finish Floor - Ceramic Tile:169772,Level 2,43,Floor,2478.6,2776.0,320.0,74.5,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUt0F,21336,IFCSLAB,Floor:Finish Floor - Ceramic Tile:169866,Level 2,43,Floor,1950.5,2184.6,286.6,66.1,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtxr,21401,IFCSLAB,Floor:Finish Floor - Wood:170352,Level 1,39,Floor,2905.0,3253.6,221.2,50.3,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtoa,21449,IFCSLAB,Floor:Finish Floor - Ceramic Tile:170785,Level 1,39,Floor,2766.9,3098.9,195.6,52.0,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtjR,21497,IFCSLAB,Floor:Finish Floor - Ceramic Tile:171230,Level 1,39,Floor,1915.6,2145.5,356.6,50.8,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtju,21545,IFCSLAB,Floor:Finish Floor - Ceramic Tile:171261,Level 1,39,Floor,2729.9,3057.5,210.1,65.2,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUtgP,21610,IFCSLAB,Floor:Finish Floor - Wood:171292,Level 1,39,Floor,2662.7,2982.2,351.1,61.8,Baseline,run-2026-09-17-01
2OBrcmyk58NupXoVOHUten,21658,IFCSLAB,Floor:Finish Floor - Ceramic Tile:171444,Level 1,39,Floor,2460.9,2756.2,198.9,73.0,Baseline,run-2026-09-17-01
1s1jVhK8z0pgKYcr9jt781,21821,IFCDOOR,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853,Level 1,39,Other,95.4,106.8,105.1,37.4,Baseline,run-2026-09-17-01
