entityId,psetName,paramName,valueType,paramValue
4287,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4399,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,741.0
4399,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,829.9
4399,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4399,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4399,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,330.8
4399,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4399,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4399,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4399,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,65.1
4399,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4399,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4465,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,764.9
4465,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,856.7
4465,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4465,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4465,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,297.5
4465,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4465,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4465,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4465,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,64.8
4465,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4465,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4508,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,874.4
4508,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,979.3
4508,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4508,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4508,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,310.8
4508,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4508,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4508,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4508,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,63.9
4508,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4508,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4553,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,1042.6
4553,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1167.7
4553,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4553,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4553,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,333.1
4553,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4553,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4553,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4553,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,86.2
4553,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4553,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4598,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,842.1
4598,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,943.2
4598,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4598,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4598,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,297.5
4598,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4598,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4598,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4598,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,64.8
4598,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4598,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4643,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,850.5
4643,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,952.6
4643,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4643,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4643,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,247.5
4643,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4643,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4643,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4643,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,82.3
4643,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4643,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4818,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,1029.6
4818,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1153.2
4818,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4818,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4818,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,278.6
4818,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4818,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4818,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4818,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,69.6
4818,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4818,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4868,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,844.6
4868,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,946.0
4868,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4868,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4868,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,326.4
4868,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4868,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4868,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4868,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,83.1
4868,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4868,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4918,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,576.8
4918,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,646.0
4918,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4918,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4918,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,265.3
4918,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4918,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4918,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4918,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,70.5
4918,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4918,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
4968,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,654.4
4968,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,732.9
4968,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
4968,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4968,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,263.1
4968,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
4968,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
4968,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
4968,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,56.5
4968,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
4968,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5057,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,618.2
5057,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,692.4
5057,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5057,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5057,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,243.1
5057,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5057,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5057,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5057,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,54.3
5057,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5057,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5106,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,624.4
5106,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,699.3
5106,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5106,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5106,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,290.8
5106,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5106,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5106,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5106,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,61.7
5106,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5106,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5165,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,2933.1
5165,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,3285.1
5165,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5165,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5165,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,204.3
5165,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5165,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5165,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5165,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,65.5
5165,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5165,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5267,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,2182.5
5267,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,2444.4
5267,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5267,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5267,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,303.2
5267,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5267,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5267,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5267,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,68.5
5267,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5267,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5399,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,999.6
5399,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1119.6
5399,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5399,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5399,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,357.5
5399,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5399,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5399,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5399,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,70.4
5399,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5399,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5448,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,642.9
5448,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,720.0
5448,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5448,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5448,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,293.1
5448,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5448,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5448,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5448,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,82.8
5448,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5448,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5498,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,706.6
5498,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,791.4
5498,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5498,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5498,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,283.1
5498,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5498,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5498,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5498,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,58.7
5498,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5498,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5548,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,700.1
5548,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,784.1
5548,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5548,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5548,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,295.3
5548,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5548,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5548,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5548,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,50.8
5548,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5548,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5598,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,996.8
5598,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1116.4
5598,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5598,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5598,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,304.2
5598,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5598,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5598,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5598,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,67.9
5598,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5598,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5642,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,803.7
5642,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,900.1
5642,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5642,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5642,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,298.6
5642,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5642,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5642,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5642,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,71.8
5642,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5642,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5687,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,951.9
5687,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,1066.1
5687,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5687,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5687,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,286.4
5687,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5687,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5687,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5687,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,79.7
5687,Pset_NRCEnergyPerformance,ScenarioName,Label,Baseline
5687,Pset_NRCEnergyPerformance,AnalysisRunId,Identifier,run-2026-09-17-01
5731,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A3_kgCO2e,Real,660.2
5731,Pset_NRCEmbodiedCarbon,EmbodiedCarbon_A1A5_kgCO2e,Real,739.4
5731,Pset_NRCEmbodiedCarbon,ScenarioName,Label,Baseline
5731,Pset_NRCEmbodiedCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5731,Pset_NRCOperationalCarbon,OperationalCarbon_kgCO2e_per_year,Real,318.6
5731,Pset_NRCOperationalCarbon,GridEmissionFactor_kgCO2e_per_kWh,Real,0.11
5731,Pset_NRCOperationalCarbon,ScenarioName,Label,Baseline
5731,Pset_NRCOperationalCarbon,AnalysisRunId,Identifier,run-2026-09-17-01
5731,Pset_NRCEnergyPerformance,EnergyUseIntensity_kWh_per_m2_year,Real,73.0
